Time,prey,predator
64.36436436,3.25000007,14.99999987
64.46446446,3.25000006,14.99999987
64.56456456,3.25000006,14.99999988
64.66466466,3.25000006,14.99999988
64.76476476,3.25000006,14.99999989
64.86486486,3.25000006,14.99999989
64.96496496,3.25000005,14.99999990
65.06506507,3.25000005,14.99999990
65.16516517,3.25000005,14.99999991
65.26526527,3.25000004,14.99999992
65.36536537,3.25000004,14.99999992
65.46546547,3.25000004,14.99999993
65.56556557,3.25000003,14.99999993
65.66566567,3.25000003,14.99999994
65.76576577,3.25000003,14.99999995
65.86586587,3.25000002,14.99999995
65.96596597,3.25000002,14.99999996
66.06606607,3.25000002,14.99999996
66.16616617,3.25000001,14.99999997
66.26626627,3.25000001,14.99999998
66.36636637,3.25000001,14.99999998
66.46646647,3.25000001,14.99999999
66.56656657,3.25000000,14.99999999
66.66666667,3.25000000,15.00000000
66.76676677,3.25000000,15.00000000
66.86686687,3.25000000,15.00000000
66.96696697,3.25000000,15.00000001
67.06706707,3.24999999,15.00000001
67.16716717,3.24999999,15.00000002
67.26726727,3.24999999,15.00000002
67.36736737,3.24999999,15.00000002
67.46746747,3.24999999,15.00000002
67.56756757,3.24999999,15.00000002
67.66766767,3.24999999,15.00000003
67.76776777,3.24999999,15.00000003
67.86786787,3.24999999,15.00000003
67.96796797,3.24999999,15.00000003
68.06806807,3.24999999,15.00000003
68.16816817,3.24999999,15.00000003
68.26826827,3.24999999,15.00000003
68.36836837,3.24999998,15.00000003
68.46846847,3.24999998,15.00000003
68.56856857,3.24999998,15.00000003
68.66866867,3.24999998,15.00000003
68.76876877,3.24999998,15.00000003
68.86886887,3.24999998,15.00000003
68.96896897,3.24999998,15.00000003
69.06906907,3.24999998,15.00000003
69.16916917,3.24999998,15.00000003
69.26926927,3.24999998,15.00000003
69.36936937,3.24999998,15.00000003
69.46946947,3.24999998,15.00000003
69.56956957,3.24999998,15.00000003
69.66966967,3.24999998,15.00000003
69.76976977,3.24999998,15.00000003
69.86986987,3.24999998,15.00000003
69.96996997,3.24999998,15.00000003
70.07007007,3.24999999,15.00000003
70.17017017,3.24999999,15.00000003
70.27027027,3.24999999,15.00000003
70.37037037,3.24999999,15.00000003
70.47047047,3.24999999,15.00000002
70.57057057,3.24999999,15.00000002
70.67067067,3.24999999,15.00000002
70.77077077,3.24999999,15.00000002
70.87087087,3.24999999,15.00000002
70.97097097,3.24999999,15.00000002
71.07107107,3.24999999,15.00000002
71.17117117,3.24999999,15.00000002
71.27127127,3.24999999,15.00000002
71.37137137,3.24999999,15.00000002
71.47147147,3.24999999,15.00000001
71.57157157,3.24999999,15.00000001
71.67167167,3.24999999,15.00000001
71.77177177,3.25000000,15.00000001
71.87187187,3.25000000,15.00000001
71.97197197,3.25000000,15.00000000
72.07207207,3.25000000,15.00000000
72.17217217,3.25000000,15.00000000
72.27227227,3.25000000,15.00000000
72.37237237,3.25000000,14.99999999
72.47247247,3.25000001,14.99999999
72.57257257,3.25000001,14.99999999
72.67267267,3.25000001,14.99999998
72.77277277,3.25000001,14.99999998
72.87287287,3.25000001,14.99999998
72.97297297,3.25000001,14.99999998
73.07307307,3.25000001,14.99999997
73.17317317,3.25000001,14.99999997
73.27327327,3.25000001,14.99999997
73.37337337,3.25000002,14.99999997
73.47347347,3.25000002,14.99999997
